year,age,education,jobclass,health,health_ins,wage
2004,33,3. Some College,2. Information,2. >=Very Good,1. Yes,104.92150653366392
2003,35,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,144.47808766541038
2004,40,3. Some College,2. Information,1. <=Good,1. Yes,118.88435933988579
2004,53,4. College Grad,2. Information,2. >=Very Good,2. No,94.07271474570051
2007,47,4. College Grad,2. Information,2. >=Very Good,1. Yes,73.77574327469462
2006,45,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,196.12527259425497
2009,34,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,169.07354004942798
2006,25,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,69.61903690467626
2006,56,4. College Grad,2. Information,2. >=Very Good,2. No,124.72044624288552
2005,54,3. Some College,2. Information,2. >=Very Good,1. Yes,115.51808515372035
2003,41,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,89.2428846644714
2008,46,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,276.778413321176
2004,44,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,170.69512771130036
2004,44,4. College Grad,2. Information,1. <=Good,1. Yes,99.68946369848636
2005,46,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2009,38,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2008,36,2. HS Grad,1. Industrial,2. >=Very Good,2. No,128.68048822062414
2009,27,4. College Grad,2. Information,2. >=Very Good,1. Yes,99.68946369848636
2008,33,2. HS Grad,1. Industrial,1. <=Good,2. No,128.68048822062414
2006,56,2. HS Grad,1. Industrial,1. <=Good,1. Yes,140.39820016194417
2005,52,2. HS Grad,2. Information,2. >=Very Good,1. Yes,111.7208493609888
2008,33,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,125.52549843383584
2008,32,4. College Grad,1. Industrial,2. >=Very Good,2. No,94.07271474570051
2008,39,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2005,22,2. HS Grad,1. Industrial,1. <=Good,2. No,72.15045568157132
2009,53,4. College Grad,1. Industrial,2. >=Very Good,2. No,104.92150653366392
2006,36,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,277.7994802056496
2005,37,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,73.77574327469462
2008,40,2. HS Grad,2. Information,2. >=Very Good,1. Yes,130.98217737746066
2005,51,2. HS Grad,1. Industrial,1. <=Good,1. Yes,78.21457569316497
2008,40,2. HS Grad,2. Information,2. >=Very Good,1. Yes,90.48191335664015
2006,56,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,117.14681691480487
2009,50,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2009,49,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,166.3249412338765
2007,32,1. < HS Grad,2. Information,2. >=Very Good,2. No,81.28325328425272
2004,21,2. HS Grad,2. Information,2. >=Very Good,1. Yes,84.04595765399237
2004,48,4. College Grad,2. Information,1. <=Good,1. Yes,114.47571329034717
2007,48,3. Some College,1. Industrial,2. >=Very Good,1. Yes,73.77574327469462
2004,32,3. Some College,1. Industrial,2. >=Very Good,1. Yes,115.10620169129265
2003,30,3. Some College,1. Industrial,2. >=Very Good,1. Yes,53.02755111648171
2006,30,3. Some College,1. Industrial,2. >=Very Good,2. No,118.88435933988579
2003,33,1. < HS Grad,2. Information,2. >=Very Good,2. No,79.85490030934672
2005,56,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,56.45386497541877
2004,46,3. Some College,2. Information,2. >=Very Good,1. Yes,90.48191335664015
2003,49,3. Some College,1. Industrial,2. >=Very Good,1. Yes,104.92150653366392
2008,24,2. HS Grad,1. Industrial,2. >=Very Good,2. No,87.98103278560542
2009,48,3. Some College,2. Information,2. >=Very Good,1. Yes,147.1166891599782
2006,37,4. College Grad,1. Industrial,1. <=Good,2. No,109.83398564219921
2007,53,3. Some College,1. Industrial,1. <=Good,1. Yes,118.88435933988579
2004,56,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,141.7751723331802
2008,34,3. Some College,2. Information,2. >=Very Good,2. No,108.87452583471249
2004,56,3. Some College,1. Industrial,1. <=Good,1. Yes,104.92150653366392
2006,48,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2006,47,2. HS Grad,1. Industrial,2. >=Very Good,2. No,27.14057920790244
2003,52,3. Some College,2. Information,2. >=Very Good,1. Yes,70.47601964694451
2009,40,3. Some College,1. Industrial,2. >=Very Good,1. Yes,166.8793832799619
2008,25,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2009,35,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,117.14681691480487
2006,40,3. Some College,2. Information,1. <=Good,1. Yes,103.90247060316008
2009,22,2. HS Grad,1. Industrial,2. >=Very Good,2. No,34.6074177301288
2003,50,3. Some College,2. Information,1. <=Good,1. Yes,100.01348692470579
2008,48,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,64.86896919397692
2007,40,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2003,45,3. Some College,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2004,30,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2003,46,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,117.14681691480487
2008,34,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,134.70537511887878
2007,32,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,65.1108537153447
2004,53,4. College Grad,1. Industrial,1. <=Good,1. Yes,143.13494081113438
2008,32,3. Some College,1. Industrial,2. >=Very Good,2. No,76.89360251761123
2004,39,4. College Grad,1. Industrial,2. >=Very Good,2. No,99.68946369848636
2007,51,4. College Grad,2. Information,2. >=Very Good,1. Yes,94.07271474570051
2004,40,2. HS Grad,2. Information,1. <=Good,1. Yes,75.35567931800914
2009,66,4. College Grad,2. Information,1. <=Good,1. Yes,127.11574381218446
2006,40,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,166.3249412338765
2009,52,5. Advanced Degree,2. Information,2. >=Very Good,2. No,133.2323508265668
2007,36,3. Some College,2. Information,2. >=Very Good,1. Yes,125.52549843383584
2007,32,2. HS Grad,1. Industrial,1. <=Good,1. Yes,89.49247951800011
2008,45,2. HS Grad,2. Information,2. >=Very Good,2. No,84.04595765399237
2006,37,2. HS Grad,2. Information,2. >=Very Good,1. Yes,169.07354004942798
2004,47,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,160.6424754082633
2008,49,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,144.17060648823255
2003,53,1. < HS Grad,2. Information,2. >=Very Good,2. No,73.77574327469462
2007,66,2. HS Grad,2. Information,1. <=Good,1. Yes,70.47601964694451
2006,33,1. < HS Grad,2. Information,1. <=Good,2. No,73.77574327469462
2004,58,2. HS Grad,1. Industrial,1. <=Good,2. No,94.07271474570051
2008,41,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,83.19132429350545
2009,54,3. Some College,2. Information,2. >=Very Good,1. Yes,134.70537511887878
2009,26,2. HS Grad,1. Industrial,2. >=Very Good,2. No,86.69515482894022
2008,24,2. HS Grad,1. Industrial,1. <=Good,2. No,70.47601964694451
2007,62,4. College Grad,2. Information,2. >=Very Good,2. No,130.98217737746066
2005,63,2. HS Grad,2. Information,2. >=Very Good,1. Yes,136.30399756205375
2005,26,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,114.02258037855647
2004,45,2. HS Grad,2. Information,1. <=Good,1. Yes,106.12758215078804
2003,23,2. HS Grad,1. Industrial,2. >=Very Good,2. No,87.98103278560542
2008,31,4. College Grad,1. Industrial,2. >=Very Good,2. No,116.26532406250342
2003,44,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,143.13494081113438
2003,43,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,54.598150033144236
2004,48,2. HS Grad,1. Industrial,2. >=Very Good,2. No,48.18565021703896
2008,48,4. College Grad,2. Information,2. >=Very Good,1. Yes,123.08969984794346
2006,55,5. Advanced Degree,2. Information,2. >=Very Good,2. No,117.58434032335393
2004,45,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,272.2947832200641
2008,48,4. College Grad,2. Information,2. >=Very Good,1. Yes,145.14360117691106
2009,63,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2004,57,2. HS Grad,2. Information,2. >=Very Good,1. Yes,97.49329404539341
2008,69,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2009,31,4. College Grad,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2003,38,4. College Grad,2. Information,2. >=Very Good,1. Yes,268.26629201255724
2005,43,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2003,19,2. HS Grad,1. Industrial,2. >=Very Good,2. No,51.90369626656816
2005,44,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2007,31,4. College Grad,2. Information,2. >=Very Good,2. No,134.70537511887878
2004,49,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,87.98103278560542
2006,29,3. Some College,2. Information,1. <=Good,1. Yes,95.23071256698191
2008,26,3. Some College,2. Information,2. >=Very Good,1. Yes,76.89360251761123
2007,37,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,116.26532406250342
2006,30,2. HS Grad,1. Industrial,2. >=Very Good,2. No,81.28325328425272
2009,35,3. Some College,1. Industrial,2. >=Very Good,1. Yes,131.62180303308986
2004,40,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,117.14681691480487
2005,44,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,68.74808773376687
2004,65,2. HS Grad,1. Industrial,1. <=Good,1. Yes,125.52549843383584
2007,54,3. Some College,1. Industrial,2. >=Very Good,1. Yes,101.82435207567953
2009,56,3. Some College,1. Industrial,2. >=Very Good,1. Yes,140.39820016194417
2008,48,4. College Grad,2. Information,2. >=Very Good,1. Yes,107.90392386687648
2009,37,3. Some College,1. Industrial,1. <=Good,2. No,58.01478201218573
2005,30,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2005,46,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,85.38394037898266
2009,37,2. HS Grad,1. Industrial,1. <=Good,1. Yes,131.73780115500074
2005,58,2. HS Grad,2. Information,2. >=Very Good,2. No,81.28325328425272
2007,52,3. Some College,1. Industrial,1. <=Good,1. Yes,86.69515482894022
2006,45,3. Some College,2. Information,1. <=Good,1. Yes,157.70052772573715
2008,33,2. HS Grad,1. Industrial,2. >=Very Good,2. No,65.11462387776001
2004,51,3. Some College,1. Industrial,2. >=Very Good,2. No,90.48191335664015
2008,50,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,46.76326879771867
2006,42,2. HS Grad,1. Industrial,1. <=Good,1. Yes,85.38394037898266
2004,46,3. Some College,1. Industrial,1. <=Good,1. Yes,139.70307152765756
2005,43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2003,47,3. Some College,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2005,47,5. Advanced Degree,2. Information,2. >=Very Good,2. No,118.88435933988579
2004,44,4. College Grad,2. Information,1. <=Good,2. No,71.15195654330311
2008,36,2. HS Grad,1. Industrial,2. >=Very Good,2. No,65.1108537153447
2008,39,2. HS Grad,1. Industrial,1. <=Good,2. No,65.1108537153447
2003,29,4. College Grad,2. Information,2. >=Very Good,1. Yes,125.52549843383584
2005,40,3. Some College,2. Information,2. >=Very Good,1. Yes,123.08969984794346
2007,20,3. Some College,1. Industrial,1. <=Good,1. Yes,70.81503861675567
2004,32,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,112.64889634210017
2003,36,3. Some College,1. Industrial,2. >=Very Good,1. Yes,86.69515482894022
2009,31,3. Some College,1. Industrial,2. >=Very Good,1. Yes,82.6796372966372
2005,28,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,130.98217737746066
2005,41,3. Some College,2. Information,1. <=Good,1. Yes,117.14681691480487
2004,54,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,176.9896504898766
2004,42,2. HS Grad,1. Industrial,2. >=Very Good,2. No,118.88435933988579
2003,19,2. HS Grad,2. Information,1. <=Good,1. Yes,68.74808773376687
2009,59,3. Some College,2. Information,1. <=Good,2. No,267.90108685527514
2003,64,3. Some College,2. Information,1. <=Good,1. Yes,99.68946369848636
2003,31,3. Some College,1. Industrial,2. >=Very Good,1. Yes,92.65813016685972
2004,37,3. Some College,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2004,30,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,87.98103278560542
2005,24,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2006,26,2. HS Grad,1. Industrial,1. <=Good,2. No,75.04315401735154
2004,44,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2008,39,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,276.778413321176
2005,48,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,277.6014175110086
2004,53,2. HS Grad,1. Industrial,1. <=Good,1. Yes,80.57319970573587
2004,42,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2009,44,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,166.3249412338765
2003,25,4. College Grad,2. Information,2. >=Very Good,1. Yes,85.38394037898266
2004,46,2. HS Grad,1. Industrial,1. <=Good,1. Yes,43.735111677982104
2003,52,3. Some College,2. Information,2. >=Very Good,2. No,101.82435207567953
2008,33,3. Some College,2. Information,1. <=Good,1. Yes,87.98103278560542
2007,30,3. Some College,2. Information,2. >=Very Good,2. No,121.43031382262248
2007,38,3. Some College,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2005,29,2. HS Grad,2. Information,2. >=Very Good,1. Yes,79.85490030934672
2008,57,4. College Grad,1. Industrial,1. <=Good,1. Yes,127.11574381218446
2003,50,4. College Grad,2. Information,2. >=Very Good,1. Yes,115.28551699418735
2008,23,3. Some College,1. Industrial,1. <=Good,2. No,98.60153978499666
2006,46,3. Some College,2. Information,2. >=Very Good,1. Yes,144.47808766541038
2005,61,4. College Grad,1. Industrial,1. <=Good,1. Yes,136.1577108372299
2007,70,1. < HS Grad,2. Information,2. >=Very Good,2. No,100.76427284210669
2009,59,2. HS Grad,1. Industrial,1. <=Good,1. Yes,76.89360251761123
2003,57,2. HS Grad,1. Industrial,1. <=Good,1. Yes,90.48191335664015
2003,25,2. HS Grad,1. Industrial,1. <=Good,2. No,86.69515482894022
2005,48,3. Some College,1. Industrial,2. >=Very Good,1. Yes,123.90856759795726
2009,52,5. Advanced Degree,2. Information,1. <=Good,2. No,65.1108537153447
2009,44,4. College Grad,2. Information,2. >=Very Good,1. Yes,131.73780115500074
2004,40,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,66.9616443217359
2008,43,4. College Grad,2. Information,1. <=Good,1. Yes,196.12527259425497
2005,51,3. Some College,1. Industrial,1. <=Good,1. Yes,166.3249412338765
2003,43,1. < HS Grad,2. Information,2. >=Very Good,2. No,65.1108537153447
2003,42,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,120.58943653040211
2008,28,2. HS Grad,1. Industrial,2. >=Very Good,2. No,101.82435207567953
2003,54,5. Advanced Degree,2. Information,2. >=Very Good,2. No,148.4131591025766
2005,34,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,159.05202712934636
2004,50,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2005,36,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,140.0511976169533
2005,36,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,132.35247770987797
2005,71,3. Some College,1. Industrial,1. <=Good,1. Yes,118.88435933988579
2006,31,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,97.49329404539341
2005,43,5. Advanced Degree,2. Information,1. <=Good,1. Yes,134.70537511887878
2007,20,3. Some College,1. Industrial,1. <=Good,2. No,72.15045568157132
2007,23,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,87.98103278560542
2007,42,2. HS Grad,1. Industrial,1. <=Good,2. No,49.55533812152264
2005,41,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,149.05589558940366
2009,27,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,122.26367389280242
2008,29,3. Some College,1. Industrial,1. <=Good,2. No,101.82435207567953
2008,41,3. Some College,1. Industrial,1. <=Good,1. Yes,99.68946369848636
2003,41,2. HS Grad,1. Industrial,1. <=Good,1. Yes,104.92150653366392
2003,22,3. Some College,2. Information,1. <=Good,2. No,81.28325328425272
2003,39,2. HS Grad,1. Industrial,1. <=Good,1. Yes,73.77574327469462
2008,50,4. College Grad,1. Industrial,2. >=Very Good,2. No,82.6796372966372
2006,49,4. College Grad,1. Industrial,1. <=Good,1. Yes,148.4131591025766
2003,42,3. Some College,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2008,38,2. HS Grad,2. Information,2. >=Very Good,1. Yes,129.4536445766255
2004,55,4. College Grad,2. Information,1. <=Good,2. No,134.70537511887878
2005,47,2. HS Grad,1. Industrial,1. <=Good,2. No,79.85490030934672
2007,52,1. < HS Grad,2. Information,2. >=Very Good,2. No,68.11199406532704
2009,56,4. College Grad,1. Industrial,2. >=Very Good,2. No,40.40566525968448
2007,30,3. Some College,2. Information,2. >=Very Good,2. No,131.73780115500074
2005,56,2. HS Grad,1. Industrial,1. <=Good,2. No,134.70537511887878
2003,46,2. HS Grad,1. Industrial,1. <=Good,1. Yes,114.47571329034717
2009,43,1. < HS Grad,2. Information,2. >=Very Good,2. No,126.32388070978574
2003,35,3. Some College,1. Industrial,1. <=Good,1. Yes,116.70715455914814
2009,58,2. HS Grad,1. Industrial,1. <=Good,1. Yes,109.83398564219921
2009,69,2. HS Grad,1. Industrial,1. <=Good,1. Yes,81.22674631202302
2006,68,2. HS Grad,2. Information,1. <=Good,1. Yes,87.98103278560542
2004,52,3. Some College,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2005,46,4. College Grad,2. Information,1. <=Good,1. Yes,104.92150653366392
2007,39,4. College Grad,2. Information,2. >=Very Good,1. Yes,107.90392386687648
2009,66,4. College Grad,1. Industrial,1. <=Good,2. No,109.83398564219921
2005,30,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,117.14681691480487
2006,30,3. Some College,1. Industrial,2. >=Very Good,1. Yes,107.90392386687648
2005,43,2. HS Grad,1. Industrial,2. >=Very Good,2. No,72.15045568157132
2008,49,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,160.6424754082633
2005,54,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2008,48,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,143.13494081113438
2008,37,3. Some College,2. Information,2. >=Very Good,2. No,97.49329404539341
2007,46,4. College Grad,2. Information,1. <=Good,1. Yes,141.7751723331802
2007,53,2. HS Grad,1. Industrial,2. >=Very Good,2. No,148.4131591025766
2009,31,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2006,18,3. Some College,2. Information,2. >=Very Good,2. No,59.097064081589075
2003,49,4. College Grad,2. Information,2. >=Very Good,1. Yes,152.52821689856043
2006,39,2. HS Grad,1. Industrial,2. >=Very Good,2. No,81.28325328425272
2003,40,2. HS Grad,2. Information,1. <=Good,2. No,43.735111677982104
2008,37,2. HS Grad,2. Information,2. >=Very Good,1. Yes,96.3706528322308
2006,24,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,101.82435207567953
2007,35,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,130.98217737746066
2007,27,2. HS Grad,1. Industrial,2. >=Very Good,2. No,82.6796372966372
2003,44,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,130.98217737746066
2008,46,4. College Grad,1. Industrial,2. >=Very Good,2. No,89.2428846644714
2005,40,3. Some College,2. Information,1. <=Good,2. No,85.1185334226767
2007,39,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,166.3249412338765
2008,42,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,100.76427284210669
2003,37,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2008,58,3. Some College,2. Information,2. >=Very Good,1. Yes,123.08969984794346
2005,40,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,163.51586397623814
2003,27,2. HS Grad,2. Information,1. <=Good,1. Yes,85.38394037898266
2003,31,3. Some College,2. Information,2. >=Very Good,1. Yes,75.35567931800914
2008,44,2. HS Grad,1. Industrial,2. >=Very Good,2. No,65.1108537153447
2003,38,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,92.65813016685972
2004,34,4. College Grad,2. Information,2. >=Very Good,2. No,137.5901427665064
2005,41,2. HS Grad,2. Information,2. >=Very Good,1. Yes,134.8515263351201
2007,20,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,72.47931629712522
2008,28,4. College Grad,2. Information,2. >=Very Good,1. Yes,178.53305038020395
2009,55,4. College Grad,2. Information,2. >=Very Good,1. Yes,98.59934386038917
2008,38,4. College Grad,2. Information,1. <=Good,2. No,115.37503855639125
2005,33,2. HS Grad,1. Industrial,1. <=Good,2. No,73.77574327469462
2009,43,2. HS Grad,1. Industrial,1. <=Good,1. Yes,36.673704196079946
2006,50,4. College Grad,2. Information,2. >=Very Good,1. Yes,123.08969984794346
2008,55,4. College Grad,2. Information,2. >=Very Good,1. Yes,87.98103278560542
2005,24,3. Some College,2. Information,2. >=Very Good,2. No,73.93571928717307
2008,41,4. College Grad,2. Information,2. >=Very Good,1. Yes,176.9896504898766
2009,37,4. College Grad,2. Information,1. <=Good,2. No,118.88435933988579
2005,42,3. Some College,2. Information,1. <=Good,1. Yes,134.70537511887878
2004,25,4. College Grad,2. Information,2. >=Very Good,1. Yes,90.48191335664015
2005,45,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2009,40,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2004,43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,130.98217737746066
2006,50,3. Some College,1. Industrial,2. >=Very Good,1. Yes,176.9896504898766
2003,42,2. HS Grad,2. Information,1. <=Good,1. Yes,82.6796372966372
2003,38,2. HS Grad,1. Industrial,1. <=Good,1. Yes,131.73780115500074
2006,44,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,82.6796372966372
2007,19,3. Some College,1. Industrial,1. <=Good,2. No,41.44121303491155
2004,44,3. Some College,2. Information,2. >=Very Good,1. Yes,117.14681691480487
2003,26,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327469462
2005,54,2. HS Grad,1. Industrial,1. <=Good,1. Yes,86.69515482894022
2006,32,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2008,49,4. College Grad,2. Information,2. >=Very Good,1. Yes,141.7751723331802
2005,35,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,70.81503861675567
2007,34,1. < HS Grad,2. Information,2. >=Very Good,2. No,72.15045568157132
2003,23,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,54.598150033144236
2008,60,3. Some College,2. Information,1. <=Good,1. Yes,127.11574381218446
2006,54,5. Advanced Degree,2. Information,1. <=Good,1. Yes,73.77574327469462
2003,31,3. Some College,2. Information,2. >=Very Good,2. No,139.70307152765756
2006,47,4. College Grad,2. Information,2. >=Very Good,2. No,160.6424754082633
2003,48,2. HS Grad,1. Industrial,1. <=Good,2. No,23.95294447899655
2005,48,4. College Grad,2. Information,1. <=Good,1. Yes,115.37503855639125
2004,35,2. HS Grad,2. Information,1. <=Good,2. No,114.47571329034717
2006,55,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2004,35,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,137.5901427665064
2009,37,4. College Grad,2. Information,2. >=Very Good,1. Yes,176.9896504898766
2003,27,2. HS Grad,2. Information,2. >=Very Good,2. No,23.27470405166014
2007,64,2. HS Grad,2. Information,2. >=Very Good,1. Yes,90.48191335664015
2003,52,2. HS Grad,1. Industrial,1. <=Good,1. Yes,73.77574327469462
2007,47,1. < HS Grad,2. Information,2. >=Very Good,2. No,82.6796372966372
2003,26,2. HS Grad,1. Industrial,2. >=Very Good,2. No,56.90553914467319
2005,41,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,128.68048822062414
2009,22,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,75.04315401735154
2004,76,3. Some College,1. Industrial,1. <=Good,2. No,73.77574327469462
2006,46,2. HS Grad,1. Industrial,1. <=Good,1. Yes,108.06583030971768
2006,39,3. Some College,1. Industrial,1. <=Good,1. Yes,123.08969984794346
2006,39,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,277.7994802056496
2004,23,3. Some College,1. Industrial,1. <=Good,1. Yes,73.77574327469462
2006,49,3. Some College,1. Industrial,2. >=Very Good,1. Yes,123.90856759795726
2009,44,1. < HS Grad,1. Industrial,1. <=Good,2. No,87.98103278560542
2006,20,2. HS Grad,1. Industrial,2. >=Very Good,2. No,70.47601964694451
2005,43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,277.6014175110086
2006,42,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2009,46,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2009,33,4. College Grad,2. Information,2. >=Very Good,1. Yes,99.68946369848636
2003,62,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,268.26629201255724
2006,38,3. Some College,2. Information,1. <=Good,1. Yes,130.98217737746066
2005,43,4. College Grad,1. Industrial,2. >=Very Good,2. No,109.83398564219921
2005,46,4. College Grad,2. Information,2. >=Very Good,1. Yes,277.6014175110086
2006,18,2. HS Grad,1. Industrial,2. >=Very Good,2. No,73.77574327469462
2009,63,5. Advanced Degree,2. Information,1. <=Good,2. No,267.90108685527514
2006,43,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,119.74085129618028
2009,44,4. College Grad,2. Information,2. >=Very Good,1. Yes,141.7751723331802
2008,53,3. Some College,2. Information,1. <=Good,1. Yes,128.25266109661882
2008,58,1. < HS Grad,2. Information,1. <=Good,1. Yes,90.48191335664015
2003,23,4. College Grad,1. Industrial,2. >=Very Good,2. No,76.89360251761123
2004,50,4. College Grad,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2004,35,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2006,38,5. Advanced Degree,2. Information,1. <=Good,1. Yes,200.543262324662
2004,36,2. HS Grad,1. Industrial,1. <=Good,1. Yes,87.98103278560542
2005,32,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2003,56,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,268.26629201255724
2005,41,3. Some College,2. Information,2. >=Very Good,2. No,87.98103278560542
2004,40,2. HS Grad,1. Industrial,1. <=Good,2. No,99.68946369848636
2004,26,4. College Grad,1. Industrial,2. >=Very Good,2. No,82.6796372966372
2006,26,2. HS Grad,2. Information,2. >=Very Good,1. Yes,130.98217737746066
2008,47,4. College Grad,2. Information,2. >=Very Good,1. Yes,108.87452583471249
2007,25,4. College Grad,2. Information,2. >=Very Good,2. No,54.598150033144236
2006,58,3. Some College,2. Information,1. <=Good,2. No,309.5717712662004
2008,57,2. HS Grad,2. Information,2. >=Very Good,2. No,82.68239933733008
2003,30,1. < HS Grad,2. Information,2. >=Very Good,2. No,59.62864555365565
